,refArea,Indicator Code,Value,Observation URI,references,publisher,dataset,refPeriod
1,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,10744320000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2002,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2002
2,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,18129460000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2003,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2003
3,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,19014600000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2004,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2004
4,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,18768320000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2005,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2005
5,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,20011590000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2006,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2006
6,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,23818920000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2007,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2007
7,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,31275510000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2008,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2008
8,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,31705350000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2009,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2009
9,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,32178700000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2010,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2010
10,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,32895860000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2011,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2011
11,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,33925310000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2012,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2012
12,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,35536670000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2013,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2013
13,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,36280250000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2014,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2014
14,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,33770860000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2015,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2015
15,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,34273980000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2016,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2016
16,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,35407020000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2017,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2017
17,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,36710640000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2018,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2018
18,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,35491420000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2019,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2019
19,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,17827620000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2020,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2020
20,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,18982250000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2021,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2021
21,http://dbpedia.org/resource/Lebanon,BM.GSR.TOTL.CD,25750900000,http://linked.aub.edu.lb/CODEC/Lebanon/observation/external-debt-Lebanon-BM.GSR.TOTL.CD-2022,https://data.humdata.org/dataset/world-bank-external-debt-indicators-for-lebanon,The World Bank,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/external-debt-Lebanon,2022
